liste;infinitif;présent;preterit;parfait;sens;
ä, u, a;ein/laden;lädt ... ein;lud ... ein;hat ... eingeladen;inviter
ä, u, a;fahren;fährt;fuhr;ist ... gefahren;aller (avec un moyen de locomotion)
ä, u, a;tragen;trägt;trug;hat ... getragen;porter
ä, u, a;schlagen;schlägt;schlug;hat ... geschlagen;frapper / battre
ä, u, a;vor/schlagen;schlägt ... vor;schlug ... vor;hat ... vorgeschlagen;proposer
ä, u, a;wachsen;wächst;wuchs;hat ... gewachsen;grandir
ä, u, a;waschen;wäscht;wusch;hat ... gewaschen;laver
ä, i(e), a;an/fangen;fängt ... an;fing ... an;hat ... an/gefangen;commencer
ä, i(e), a;fangen;fängt;fing;hat ... gefangen;attraper
ä, i(e), a;fallen;fält;fiel;ist ... gefallen;tomber
ä, i(e), a;halten;hält;hielt;hat ... gehalten;arrêter / tenir
ä, i(e), a;lassen;lässt;ließ;hat ... gelassen;laisser
ä, i(e), a;schlafen;schläft;schlief;hat ... geschlafen;dormir
ä, ie, au;laufen;läuft;lief;ist ... gelaufen;courir
_, a, a;auf/stehen;steht ... auf;stand ... auf;ist ... aufgestanden;se lever
_, a, a;stehen;steht;stand;hat / ist ... gestanden;se tenir debout / se trouver
_, a, a;tun;tut;tat;hat ... getan;faire
ie, a, e;lesen;liest;las;hat ... gelesen;lire
ie, a, e;sehen;sieht;sah;hat ... gesehen;voir
ie, a, e;fern/sehen;sieht ... fern;sah ... fern;hat ... ferngesehen;regarder la television
i, a, e;essen;isst;aß;hat ... gegessen;manger
i, a, e;fressen;frisst;fraß;hat ... gefressen;manger (pour les animaux)
i, a, e;geben;gibt;gab;hat ... gegeben;donner
i, a, e;vergessen;vergisst;vergaß;hat ... vergessen;oublier
i(e), a, o;brechen;bricht;brach;hat ... gebrochen;casser
i(e), a, o;empfehlen;empfiehlt;empfahl;hat ... empfohlen;recommander
i(e), a, o;helfen;hilft;half;hat ... geholfen;aider
i(e), a, o;nehmen;nimmt;nahm;hat ... genommen;prendre
i(e), a, o;sprechen;spricht;sprach;hat ... gesprochen;parler
i(e), a, o;sterben;stirbt;starb;ist gestorben;mourir
i(e), a, o;treffen;trifft;traf;hat ... getroffen;rencontrer
i(e), a, o;werfen;wirft;warf;hat ... geworfen;lancer/jeter
_, i, a;gehen;geht;ging;ist ... gegangen;aller (à pied)
i, u, o;werden;wird;wurd;ist ... geworden;devenir
_, i, i;reiten;reitet;ritt;ist ... geritten;faire de l'équitation
_, i, i;sich streiten;streitet sich;stritt sich;hat sich ... gestritten;se disputer
_, ie, ie;bleiben;bleibt;blieb;ist ... geblieden;rester
_, ie, ie;entscheiden;entscheidet;entschied;hat ... entschieden;décider
_, ie, ie;scheinen;scheint;schien;hat ... geschienen;briller, sembler
_, ie, ie;schreiben;schreibt;schrieb;hat ... geschrieben;écrire
_, ie, ie;schreien;schreit;schrie;hat ... geschrien;crier
_, ie, ie;treiben;treibt;trieb;hat ... getrieben;pratiquer un sport
_, ie, ei;heißen;heißt;hieß;hat ... geheißen;s'appeler
_, a, e;bitten;bittet;bat;hat ... gebeten;prier (qqn de qqch)
_, a, e;liegen;liegt;lag;hat / ist ... gelegen;être allongé
_, a, e;sitzen;sitzt;saß;hat / ist ... gesetzen;être assis
_, a, o;beginnen;beginnt;begann;hat ... begonnen;commencer / débuter
_, a, o;gewinnen;gewinnt;gewann;hat ... gewonnen;gagner
_, a, o;schwimmen;schwimmt;schwamm;ist ... geschwommen;nager
_, a, o;kommen;kommt;kam;ist ... gekommen;venir
_, a, u;finden;findet;fand;hat ... gefunden;trouver
_, a, u;singen;singt;sang;hat ... gesungen;chanter
_, a, u;springen;springt;sprang;ist ... gesprungen;sauter
_, a, u;trinken;trinkt;trank;hat ... getrunkt;boire
_, a, u;verschwinden;verschwindet;verschwand;hat ... verschwunden;disparaître
_, o, o;an/bieten;bietet ... an;bot ... an;hat ... angeboten;offrir
_, o, o;fliegen;fliegt;flog;ist ... geflogen;voler (avion, oiseau)
_, o, o;frieren;friert;fror;hat ... gefroren;geler
_, o, o;genießen;genießt;genoss;hat ... genossen;profiter de (savourer)
_, o, o;schießen;schießt;schoss;hat ... geschossen;tirer, lancer (sur)
_, o, o;schließen;schließt;schloss;hat ... geschlossen;fermer
_, o, o;verlieren;verliert;verlor;hat ... verloren;perdre
_, o, o;wiegen;wiegt;wog;hat ... gewogen;peser
_, o, o;ziehen;zieht;zoh;hat ... gezohen;tirer (porte)
_, ie, u;an/rufen;ruft ... an;rief ... an;hat ... angerufen;appeler (au telephone)
liste verbes faibles irréguliers;brennen;brennt;brannte;hat ... gebrannt;brûler
liste verbes faibles irréguliers;bringen;bringt;brachte;hat ... gebracht;apporter
liste verbes faibles irréguliers;denken;denkt;dachte;hat ... gedacht;penser
liste verbes faibles irréguliers;kennen;kennt;kannte;hat ... gekannt;connaître
liste verbes faibles irréguliers;nennen;nennt;nannte;hat ... genannt;nommer
liste verbes faibles irréguliers;rennen;rennt;rannte;ist ... gerannt;courrir
